realtime_start,realtime_end,date,value
2019-12-06,2019-12-06,1992-01-01,10845
2019-12-06,2019-12-06,1992-02-01,10904
2019-12-06,2019-12-06,1992-03-01,10986
2019-12-06,2019-12-06,1992-04-01,10738
2019-12-06,2019-12-06,1992-05-01,10777
2019-12-06,2019-12-06,1992-06-01,10790
2019-12-06,2019-12-06,1992-07-01,10785
2019-12-06,2019-12-06,1992-08-01,10915
2019-12-06,2019-12-06,1992-09-01,10980
2019-12-06,2019-12-06,1992-10-01,10971
2019-12-06,2019-12-06,1992-11-01,10873
2019-12-06,2019-12-06,1992-12-01,11082
2019-12-06,2019-12-06,1993-01-01,11333
2019-12-06,2019-12-06,1993-02-01,11410
2019-12-06,2019-12-06,1993-03-01,11184
2019-12-06,2019-12-06,1993-04-01,11417
2019-12-06,2019-12-06,1993-05-01,11720
2019-12-06,2019-12-06,1993-06-01,11669
2019-12-06,2019-12-06,1993-07-01,11781
2019-12-06,2019-12-06,1993-08-01,11875
2019-12-06,2019-12-06,1993-09-01,11786
2019-12-06,2019-12-06,1993-10-01,11908
2019-12-06,2019-12-06,1993-11-01,12297
2019-12-06,2019-12-06,1993-12-01,12583
2019-12-06,2019-12-06,1994-01-01,12316
2019-12-06,2019-12-06,1994-02-01,12233
2019-12-06,2019-12-06,1994-03-01,12767
2019-12-06,2019-12-06,1994-04-01,13076
2019-12-06,2019-12-06,1994-05-01,13033
2019-12-06,2019-12-06,1994-06-01,12987
2019-12-06,2019-12-06,1994-07-01,13130
2019-12-06,2019-12-06,1994-08-01,13224
2019-12-06,2019-12-06,1994-09-01,13375
2019-12-06,2019-12-06,1994-10-01,13550
2019-12-06,2019-12-06,1994-11-01,13384
2019-12-06,2019-12-06,1994-12-01,13981
2019-12-06,2019-12-06,1995-01-01,13738
2019-12-06,2019-12-06,1995-02-01,13613
2019-12-06,2019-12-06,1995-03-01,13587
2019-12-06,2019-12-06,1995-04-01,13415
2019-12-06,2019-12-06,1995-05-01,13370
2019-12-06,2019-12-06,1995-06-01,13548
2019-12-06,2019-12-06,1995-07-01,13645
2019-12-06,2019-12-06,1995-08-01,13683
2019-12-06,2019-12-06,1995-09-01,13837
2019-12-06,2019-12-06,1995-10-01,13932
2019-12-06,2019-12-06,1995-11-01,14092
